Актёр,Фильм,Роль
★ Рассел Кроу,«Гладиатор»,Максимус
• Хавьер Бардем,«Пока не наступит ночь»,Рейнальдо Аренас
• Джеффри Раш,«Перо маркиза де Сада»,Маркиз де Сад
• Эд Харрис,«Поллок»,Джексон Поллок
• Том Хэнкс,«Изгой»,Чак Ноланд
★ Дензел Вашингтон,«Тренировочный день»,детектив Алонзо Харрис
• Рассел Кроу,«Игры разума»,Джон Нэш
• Шон Пенн,«Я — Сэм»,Сэм Доусон
• Уилл Смит,«Али»,Мохаммед Али
• Том Уилкинсон,«В спальне»,Мэтт Фоулер
★ Эдриен Броуди,«Пианист»,Владислав Шпильман
• Дэниел Дэй-Льюис,«Банды Нью-Йорка»,Билл «Мясник» Каттинг
• Николас Кейдж,«Адаптация»,Чарли Кауфман / Дональд Кауфман
• Майкл Кейн,«Тихий американец»,Томас Фаулер
• Джек Николсон,«О Шмидте»,Уоррен Шмидт
★ Шон Пенн,«Таинственная река»,Джимми Маркум
• Джонни Депп,«Пираты Карибского моря: Проклятие „Чёрной жемчужины“»,капитан Джек Воробей
• Бен Кингсли,«Дом из песка и тумана»,Масуд Амир Бехрани
• Джуд Лоу,«Холодная гора»,Инман
• Билл Мюррей,«Трудности перевода»,Боб Харрис
★ Джейми Фокс,«Рэй»,Рэй Чарльз
• Джонни Депп,«Волшебная страна»,Джеймс Мэтью Барри
• Леонардо Ди Каприо,«Авиатор»,Говард Хьюз
• Клинт Иствуд,«Малышка на миллион»,Фрэнки Данн
• Дон Чидл,«Отель „Руанда“»,Пол Русесабагина
★ Филип Сеймур Хоффман,«Капоте»,Трумен Капоте
• Хит Леджер,«Горбатая гора»,Эннис Дел Мар
• Дэвид Стрэтэйрн,«Доброй ночи и удачи»,Эдвард Мэроу
• Хоакин Феникс,«Переступить черту»,Джонни Кэш
• Терренс Ховард,«Суета и движение»,Диджей
★ Форест Уитакер,«Последний король Шотландии»,Иди Амин
• Райан Гослинг,«Полу-Нельсон»,Дэн Данн
• Леонардо Ди Каприо,«Кровавый алмаз»,Дэнни Арчер
• Питер О’Тул,«Венера»,Морис
• Уилл Смит,«В погоне за счастьем»,Крис Гарднер
★ Дэниел Дэй-Льюис,«Нефть»,Дэниел Плэйнвью
• Джонни Депп,"«Суини Тодд, демон-парикмахер с Флит-стрит»",Суини Тодд
• Томми Ли Джонс,«В долине Эла»,Хэнк Дирфилд
• Джордж Клуни,«Майкл Клейтон»,Майкл Клейтон
• Вигго Мортенсен,«Порок на экспорт»,Николай Лужин
★ Шон Пенн,«Харви Милк»,Харви Милк
• Ричард Дженкинс,«Посетитель»,Уолтер Вэйл
• Фрэнк Ланджелла,«Фрост против Никсона»,Ричард Никсон
• Брэд Питт,«Загадочная история Бенджамина Баттона»,Бенджамин Баттон
• Микки Рурк,«Рестлер»,Рэнди «Баран» Робинсон
★ Джефф Бриджес,«Сумасшедшее сердце»,Отис «Бэд» Блэйк
• Джордж Клуни,«Мне бы в небо»,Райан Бингэм
• Джереми Реннер,«Повелитель бури»,сержант Уильям Джеймс
• Колин Ферт,«Одинокий мужчина»,Джордж Фальконер
• Морган Фримен,«Непокорённый»,Нельсон Мандела
